collapse,years,DAPever,DAPimp,LME,genus,species
0,2003,1,1,31,483,835
0,2003,1,1,31,522,897
0,2003,1,1,31,572,991
0,2003,1,1,31,572,993
0,2003,1,1,31,572,986
0,2003,1,1,59,647,1106
0,2003,1,1,31,328,539
0,2003,1,1,31,138,208
0,2003,0,0,26,315,517
1,2003,0,0,16,126,191
0,2003,0,0,16,302,485
1,2003,0,0,16,435,747
0,2003,0,0,16,435,748
1,2003,0,0,38,430,737
0,2003,0,0,38,39,65
0,2003,0,0,38,68,102
0,2003,0,0,38,99,155
0,2003,0,0,38,161,249
0,2003,0,0,38,225,369
0,2003,0,0,38,266,433
0,2003,0,0,38,276,449
0,2003,0,0,38,278,451
0,2003,0,0,38,346,574
0,2003,0,0,38,385,649
0,2003,0,0,38,431,738
0,2003,0,0,38,494,853
0,2003,0,0,38,614,1062
0,2003,0,0,38,647,1104
0,2003,0,0,38,647,1106
0,2003,0,0,38,647,1107
0,2003,0,0,38,680,1168
0,2003,0,0,1,2,2
0,2003,0,0,1,4,6
0,2003,0,0,1,32,55
0,2003,0,0,1,33,57
0,2003,0,0,1,34,58
0,2003,0,0,1,48,75
0,2003,0,0,1,51,81
0,2003,0,0,1,52,82
0,2003,0,0,1,60,93
0,2003,0,0,1,67,101
0,2003,0,0,1,68,102
0,2003,0,0,1,81,121
0,2003,0,0,1,87,132
0,2003,0,0,1,90,139
0,2003,0,0,1,91,141
1,2003,0,0,1,102,159
0,2003,0,0,1,106,164
1,2003,0,0,1,111,171
0,2003,0,0,1,120,180
0,2003,0,0,1,121,181
1,2003,0,0,1,132,202
1,2003,0,0,1,140,212
0,2003,0,0,1,149,227
0,2003,0,0,1,159,242
0,2003,0,0,1,162,250
0,2003,0,0,1,166,256
0,2003,0,0,1,183,292
0,2003,0,0,1,184,293
1,2003,0,0,1,192,304
0,2003,0,0,1,193,305
1,2003,0,0,1,194,307
1,2003,0,0,1,199,317
1,2003,0,0,1,203,333
0,2003,0,0,1,204,336
0,2003,0,0,1,206,338
1,2003,0,0,1,207,341
0,2003,0,0,1,216,352
0,2003,0,0,1,220,359
0,2003,0,0,1,223,365
1,2003,0,0,1,236,382
1,2003,0,0,1,237,385
1,2003,0,0,1,237,383
0,2003,0,0,1,238,391
0,2003,0,0,1,242,395
0,2003,0,0,1,243,396
0,2003,0,0,1,250,407
1,2003,0,0,1,251,408
0,2003,0,0,1,252,409
0,2003,0,0,1,264,429
1,2003,0,0,1,265,430
0,2003,0,0,1,265,431
0,2003,0,0,1,266,433
1,2003,0,0,1,267,437
0,2003,0,0,1,270,442
0,2003,0,0,1,273,446
0,2003,0,0,1,276,449
0,2003,0,0,1,283,457
0,2003,0,0,1,291,466
0,2003,0,0,1,295,472
0,2003,0,0,1,308,498
0,2003,0,0,1,309,503
0,2003,0,0,1,309,499
0,2003,0,0,1,311,510
0,2003,0,0,1,321,527
1,2003,0,0,1,326,535
0,2003,0,0,1,326,536
1,2003,0,0,1,329,540
0,2003,0,0,1,334,545
0,2003,0,0,1,334,546
0,2003,0,0,1,344,559
0,2003,0,0,1,346,575
1,2003,0,0,1,347,576
1,2003,0,0,1,362,602
1,2003,0,0,1,365,608
0,2003,0,0,1,366,609
0,2003,0,0,1,369,615
0,2003,0,0,1,373,621
1,2003,0,0,1,377,635
0,2003,0,0,1,380,638
0,2003,0,0,1,388,654
0,2003,0,0,1,399,668
0,2003,0,0,1,400,670
0,2003,0,0,1,404,674
0,2003,0,0,1,410,688
1,2003,0,0,1,422,714
0,2003,0,0,1,423,716
1,2003,0,0,1,423,718
0,2003,0,0,1,429,731
0,2003,0,0,1,431,738
0,2003,0,0,1,438,751
0,2003,0,0,1,453,771
0,2003,0,0,1,454,780
0,2003,0,0,1,454,784
0,2003,0,0,1,454,772
0,2003,0,0,1,461,804
1,2003,0,0,1,463,807
1,2003,0,0,1,473,821
0,2003,0,0,1,486,838
0,2003,0,0,1,490,846
0,2003,0,0,1,493,851
0,2003,0,0,1,494,853
1,2003,0,0,1,496,855
0,2003,0,0,1,501,862
1,2003,0,0,1,510,875
1,2003,0,0,1,516,885
0,2003,0,0,1,516,883
1,2003,0,0,1,517,889
0,2003,0,0,1,518,890
0,2003,0,0,1,520,894
0,2003,0,0,1,520,892
0,2003,0,0,1,524,899
1,2003,0,0,1,538,923
0,2003,0,0,1,540,925
0,2003,0,0,1,541,933
1,2003,0,0,1,551,946
1,2003,0,0,1,555,952
0,2003,0,0,1,555,950
0,2003,0,0,1,558,956
0,2003,0,0,1,559,961
0,2003,0,0,1,559,958
0,2003,0,0,1,560,969
1,2003,0,0,1,561,970
0,2003,0,0,1,577,1002
0,2003,0,0,1,580,1005
1,2003,0,0,1,581,1006
0,2003,0,0,1,582,1009
1,2003,0,0,1,582,1007
0,2003,0,0,1,585,1017
0,2003,0,0,1,588,1020
0,2003,0,0,1,590,1023
1,2003,0,0,1,599,1036
0,2003,0,0,1,604,1042
0,2003,0,0,1,612,1059
0,2003,0,0,1,614,1062
1,2003,0,0,1,614,1061
1,2003,0,0,1,616,1065
1,2003,0,0,1,625,1074
0,2003,0,0,1,631,1080
0,2003,0,0,1,633,1082
0,2003,0,0,1,641,1094
1,2003,0,0,1,641,1095
1,2003,0,0,1,642,1097
1,2003,0,0,1,647,1103
0,2003,0,0,1,647,1104
1,2003,0,0,1,647,1106
1,2003,0,0,1,647,1107
0,2003,0,0,1,648,1111
0,2003,0,0,1,661,1131
1,2003,0,0,1,661,1130
1,2003,0,0,1,674,1159
0,2003,0,0,1,678,1165
1,2003,0,0,1,680,1168
1,2003,0,0,1,681,1170
0,2003,0,0,1,684,1174
1,2003,0,0,2,115,175
0,2003,0,0,2,174,282
0,2003,0,0,2,205,337
0,2003,0,0,2,321,529
0,2003,0,0,2,321,527
0,2003,0,0,2,371,619
0,2003,0,0,2,371,618
1,2003,0,0,2,376,634
0,2003,0,0,2,517,889
0,2003,0,0,3,2,2
0,2003,0,0,3,3,3
0,2003,0,0,3,3,4
0,2003,0,0,3,4,6
1,2003,0,0,3,15,28
1,2003,0,0,3,15,27
0,2003,0,0,3,18,35
0,2003,0,0,3,23,40
0,2003,0,0,3,31,54
0,2003,0,0,3,34,58
0,2003,0,0,3,52,82
1,2003,0,0,3,54,86
1,2003,0,0,3,59,92
0,2003,0,0,3,65,99
0,2003,0,0,3,67,101
0,2003,0,0,3,70,104
0,2003,0,0,3,76,113
0,2003,0,0,3,87,132
0,2003,0,0,3,89,137
0,2003,0,0,3,89,134
0,2003,0,0,3,90,139
1,2003,0,0,3,91,141
0,2003,0,0,3,91,145
0,2003,0,0,3,106,164
0,2003,0,0,3,127,194
0,2003,0,0,3,127,193
1,2003,0,0,3,140,212
1,2003,0,0,3,146,221
0,2003,0,0,3,149,227
0,2003,0,0,3,155,238
0,2003,0,0,3,159,242
0,2003,0,0,3,162,250
0,2003,0,0,3,166,258
0,2003,0,0,3,166,256
0,2003,0,0,3,178,286
1,2003,0,0,3,178,287
1,2003,0,0,3,183,292
0,2003,0,0,3,184,293
0,2003,0,0,3,189,300
0,2003,0,0,3,193,305
0,2003,0,0,3,199,320
0,2003,0,0,3,199,317
1,2003,0,0,3,203,333
0,2003,0,0,3,206,338
1,2003,0,0,3,207,341
0,2003,0,0,3,222,363
0,2003,0,0,3,223,365
0,2003,0,0,3,229,374
0,2003,0,0,3,234,380
0,2003,0,0,3,236,382
0,2003,0,0,3,237,383
0,2003,0,0,3,241,394
0,2003,0,0,3,243,396
0,2003,0,0,3,244,398
0,2003,0,0,3,247,402
0,2003,0,0,3,250,407
0,2003,0,0,3,251,408
0,2003,0,0,3,252,409
0,2003,0,0,3,264,429
0,2003,0,0,3,265,431
0,2003,0,0,3,266,433
0,2003,0,0,3,270,442
0,2003,0,0,3,273,446
0,2003,0,0,3,275,448
1,2003,0,0,3,281,455
0,2003,0,0,3,283,457
0,2003,0,0,3,295,472
0,2003,0,0,3,296,474
0,2003,0,0,3,306,495
1,2003,0,0,3,308,498
0,2003,0,0,3,309,499
0,2003,0,0,3,314,513
0,2003,0,0,3,315,515
0,2003,0,0,3,315,518
0,2003,0,0,3,315,519
0,2003,0,0,3,315,514
0,2003,0,0,3,326,535
0,2003,0,0,3,326,536
0,2003,0,0,3,329,540
0,2003,0,0,3,333,544
0,2003,0,0,3,334,546
0,2003,0,0,3,347,576
0,2003,0,0,3,349,581
1,2003,0,0,3,362,602
0,2003,0,0,3,364,605
0,2003,0,0,3,365,608
0,2003,0,0,3,366,609
0,2003,0,0,3,367,610
0,2003,0,0,3,369,616
0,2003,0,0,3,369,615
0,2003,0,0,3,373,621
0,2003,0,0,3,377,635
0,2003,0,0,3,378,636
0,2003,0,0,3,387,653
0,2003,0,0,3,388,655
0,2003,0,0,3,388,654
0,2003,0,0,3,399,668
0,2003,0,0,3,400,670
0,2003,0,0,3,400,669
0,2003,0,0,3,403,673
0,2003,0,0,3,404,674
0,2003,0,0,3,410,688
0,2003,0,0,3,416,699
1,2003,0,0,3,421,713
0,2003,0,0,3,424,721
0,2003,0,0,3,429,731
0,2003,0,0,3,431,738
0,2003,0,0,3,438,751
0,2003,0,0,3,442,756
0,2003,0,0,3,453,771
1,2003,0,0,3,454,780
0,2003,0,0,3,454,782
1,2003,0,0,3,454,783
0,2003,0,0,3,454,784
1,2003,0,0,3,454,788
1,2003,0,0,3,454,789
0,2003,0,0,3,454,772
0,2003,0,0,3,455,793
0,2003,0,0,3,459,801
0,2003,0,0,3,469,815
0,2003,0,0,3,470,816
1,2003,0,0,3,473,821
0,2003,0,0,3,479,830
0,2003,0,0,3,486,838
0,2003,0,0,3,488,841
0,2003,0,0,3,489,845
0,2003,0,0,3,492,849
0,2003,0,0,3,492,848
0,2003,0,0,3,493,851
0,2003,0,0,3,494,853
0,2003,0,0,3,496,855
0,2003,0,0,3,501,862
0,2003,0,0,3,515,882
0,2003,0,0,3,516,885
0,2003,0,0,3,516,883
1,2003,0,0,3,517,889
0,2003,0,0,3,518,890
1,2003,0,0,3,519,891
0,2003,0,0,3,520,894
1,2003,0,0,3,520,892
0,2003,0,0,3,525,900
0,2003,0,0,3,531,909
0,2003,0,0,3,538,922
0,2003,0,0,3,540,928
0,2003,0,0,3,540,930
0,2003,0,0,3,540,925
0,2003,0,0,3,543,935
0,2003,0,0,3,543,936
0,2003,0,0,3,546,939
0,2003,0,0,3,547,940
0,2003,0,0,3,551,946
0,2003,0,0,3,555,952
1,2003,0,0,3,555,950
0,2003,0,0,3,558,957
0,2003,0,0,3,558,956
0,2003,0,0,3,559,961
0,2003,0,0,3,559,962
1,2003,0,0,3,559,963
0,2003,0,0,3,559,958
1,2003,0,0,3,560,969
0,2003,0,0,3,561,970
0,2003,0,0,3,570,984
1,2003,0,0,3,571,985
0,2003,0,0,3,574,998
0,2003,0,0,3,575,999
0,2003,0,0,3,577,1002
0,2003,0,0,3,580,1005
0,2003,0,0,3,581,1006
1,2003,0,0,3,582,1007
0,2003,0,0,3,584,1016
0,2003,0,0,3,585,1017
0,2003,0,0,3,588,1020
0,2003,0,0,3,590,1023
0,2003,0,0,3,592,1025
0,2003,0,0,3,593,1026
0,2003,0,0,3,594,1029
0,2003,0,0,3,599,1036
0,2003,0,0,3,604,1042
0,2003,0,0,3,605,1044
0,2003,0,0,3,605,1045
0,2003,0,0,3,612,1059
1,2003,0,0,3,614,1061
0,2003,0,0,3,616,1065
0,2003,0,0,3,618,1067
0,2003,0,0,3,623,1072
0,2003,0,0,3,625,1074
0,2003,0,0,3,631,1080
0,2003,0,0,3,638,1089
0,2003,0,0,3,639,1091
0,2003,0,0,3,641,1094
1,2003,0,0,3,641,1095
1,2003,0,0,3,642,1097
0,2003,0,0,3,645,1100
0,2003,0,0,3,647,1103
0,2003,0,0,3,647,1104
0,2003,0,0,3,647,1107
0,2003,0,0,3,647,1110
0,2003,0,0,3,658,1124
0,2003,0,0,3,658,1126
1,2003,0,0,3,658,1123
0,2003,0,0,3,661,1130
0,2003,0,0,3,662,1141
0,2003,0,0,3,666,1145
0,2003,0,0,3,667,1146
0,2003,0,0,3,672,1155
0,2003,0,0,3,674,1159
1,2003,0,0,3,677,1164
1,2003,0,0,3,678,1165
0,2003,0,0,3,680,1168
0,2003,0,0,4,13,24
0,2003,0,0,4,16,30
1,2003,0,0,4,16,31
0,2003,0,0,4,16,32
0,2003,0,0,4,16,29
1,2003,0,0,4,22,39
1,2003,0,0,4,27,45
0,2003,0,0,4,29,47
0,2003,0,0,4,64,98
1,2003,0,0,4,72,109
1,2003,0,0,4,74,111
1,2003,0,0,4,111,171
0,2003,0,0,4,128,195
0,2003,0,0,4,138,208
0,2003,0,0,4,157,240
0,2003,0,0,4,173,279
0,2003,0,0,4,210,345
1,2003,0,0,4,236,382
1,2003,0,0,4,249,405
1,2003,0,0,4,251,408
0,2003,0,0,4,273,446
1,2003,0,0,4,276,449
1,2003,0,0,4,308,498
0,2003,0,0,4,320,526
0,2003,0,0,4,321,528
1,2003,0,0,4,321,527
0,2003,0,0,4,328,539
0,2003,0,0,4,336,548
0,2003,0,0,4,344,567
0,2003,0,0,4,352,587
0,2003,0,0,4,357,595
1,2003,0,0,4,359,598
0,2003,0,0,4,374,627
0,2003,0,0,4,427,725
1,2003,0,0,4,427,729
1,2003,0,0,4,429,731
1,2003,0,0,4,450,768
0,2003,0,0,4,464,809
0,2003,0,0,4,478,829
1,2003,0,0,4,516,883
0,2003,0,0,4,522,897
0,2003,0,0,4,537,919
1,2003,0,0,4,555,953
1,2003,0,0,4,572,991
0,2003,0,0,4,572,993
1,2003,0,0,4,572,986
1,2003,0,0,4,598,1033
1,2003,0,0,4,614,1062
1,2003,0,0,4,628,1077
1,2003,0,0,4,674,1159
0,2003,0,0,5,10,14
0,2003,0,0,5,13,24
1,2003,0,0,5,16,29
0,2003,0,0,5,67,101
1,2003,0,0,5,82,126
1,2003,0,0,5,87,132
1,2003,0,0,5,121,182
0,2003,0,0,5,138,208
0,2003,0,0,5,148,224
0,2003,0,0,5,148,225
0,2003,0,0,5,148,226
0,2003,0,0,5,152,231
1,2003,0,0,5,157,240
0,2003,0,0,5,169,266
0,2003,0,0,5,194,308
0,2003,0,0,5,210,345
1,2003,0,0,5,228,372
1,2003,0,0,5,248,404
1,2003,0,0,5,249,405
1,2003,0,0,5,253,411
0,2003,0,0,5,299,482
0,2003,0,0,5,309,499
1,2003,0,0,5,311,508
1,2003,0,0,5,325,534
1,2003,0,0,5,343,558
1,2003,0,0,5,344,567
1,2003,0,0,5,354,591
1,2003,0,0,5,365,608
0,2003,0,0,5,381,642
0,2003,0,0,5,413,691
0,2003,0,0,5,420,712
0,2003,0,0,5,468,814
0,2003,0,0,5,477,827
0,2003,0,0,5,478,829
1,2003,0,0,5,483,834
1,2003,0,0,5,483,835
1,2003,0,0,5,516,883
0,2003,0,0,5,535,915
0,2003,0,0,5,535,916
0,2003,0,0,5,535,914
0,2003,0,0,5,539,924
1,2003,0,0,5,551,946
1,2003,0,0,5,555,953
0,2003,0,0,5,562,971
0,2003,0,0,5,563,973
0,2003,0,0,5,563,974
1,2003,0,0,5,580,1005
1,2003,0,0,5,593,1028
0,2003,0,0,5,593,1026
0,2003,0,0,5,611,1057
1,2003,0,0,5,614,1062
1,2003,0,0,5,659,1128
0,2003,0,0,5,661,1139
1,2003,0,0,5,661,1130
0,2003,0,0,5,669,1149
1,2003,0,0,5,670,1150
1,2003,0,0,5,686,1177
1,2003,0,0,6,13,24
0,2003,0,0,6,16,30
0,2003,0,0,6,16,31
0,2003,0,0,6,16,32
1,2003,0,0,6,16,29
0,2003,0,0,6,29,47
0,2003,0,0,6,64,98
0,2003,0,0,6,72,109
1,2003,0,0,6,74,111
0,2003,0,0,6,82,126
1,2003,0,0,6,87,132
1,2003,0,0,6,96,151
1,2003,0,0,6,111,171
1,2003,0,0,6,128,195
0,2003,0,0,6,138,208
0,2003,0,0,6,157,240
1,2003,0,0,6,188,299
0,2003,0,0,6,210,345
1,2003,0,0,6,236,382
0,2003,0,0,6,248,404
1,2003,0,0,6,249,405
1,2003,0,0,6,251,408
1,2003,0,0,6,253,411
1,2003,0,0,6,273,446
1,2003,0,0,6,276,449
1,2003,0,0,6,308,498
1,2003,0,0,6,311,508
0,2003,0,0,6,321,528
1,2003,0,0,6,328,539
0,2003,0,0,6,336,548
1,2003,0,0,6,343,558
0,2003,0,0,6,344,567
0,2003,0,0,6,352,587
1,2003,0,0,6,354,591
0,2003,0,0,6,357,595
1,2003,0,0,6,359,598
0,2003,0,0,6,359,599
0,2003,0,0,6,389,657
1,2003,0,0,6,413,691
0,2003,0,0,6,427,725
0,2003,0,0,6,450,768
1,2003,0,0,6,464,809
1,2003,0,0,6,477,827
0,2003,0,0,6,478,829
0,2003,0,0,6,483,834
0,2003,0,0,6,483,835
1,2003,0,0,6,516,883
0,2003,0,0,6,522,897
1,2003,0,0,6,535,915
1,2003,0,0,6,535,916
1,2003,0,0,6,551,946
1,2003,0,0,6,555,953
1,2003,0,0,6,563,973
1,2003,0,0,6,572,991
0,2003,0,0,6,572,993
1,2003,0,0,6,572,986
1,2003,0,0,6,614,1062
0,2003,0,0,6,628,1077
1,2003,0,0,6,661,1130
1,2003,0,0,6,670,1150
0,2003,0,0,7,2,2
0,2003,0,0,7,5,7
1,2003,0,0,7,9,13
1,2003,0,0,7,15,28
0,2003,0,0,7,15,27
0,2003,0,0,7,18,35
0,2003,0,0,7,25,42
0,2003,0,0,7,34,58
0,2003,0,0,7,52,83
0,2003,0,0,7,52,82
0,2003,0,0,7,54,86
0,2003,0,0,7,67,101
1,2003,0,0,7,70,104
0,2003,0,0,7,76,113
0,2003,0,0,7,87,132
0,2003,0,0,7,89,134
0,2003,0,0,7,91,141
0,2003,0,0,7,93,147
0,2003,0,0,7,106,164
0,2003,0,0,7,127,194
0,2003,0,0,7,127,193
1,2003,0,0,7,140,212
1,2003,0,0,7,154,235
1,2003,0,0,7,154,233
0,2003,0,0,7,155,238
0,2003,0,0,7,159,242
0,2003,0,0,7,163,251
0,2003,0,0,7,164,253
0,2003,0,0,7,165,255
0,2003,0,0,7,166,258
0,2003,0,0,7,166,256
0,2003,0,0,7,178,286
0,2003,0,0,7,178,287
0,2003,0,0,7,183,292
0,2003,0,0,7,184,293
0,2003,0,0,7,193,305
0,2003,0,0,7,199,317
0,2003,0,0,7,206,338
0,2003,0,0,7,207,341
0,2003,0,0,7,218,355
0,2003,0,0,7,236,382
1,2003,0,0,7,237,383
0,2003,0,0,7,241,394
0,2003,0,0,7,243,396
0,2003,0,0,7,244,398
0,2003,0,0,7,247,402
0,2003,0,0,7,250,407
0,2003,0,0,7,251,408
0,2003,0,0,7,264,429
0,2003,0,0,7,265,431
0,2003,0,0,7,266,433
0,2003,0,0,7,270,442
0,2003,0,0,7,273,446
0,2003,0,0,7,275,448
0,2003,0,0,7,281,455
0,2003,0,0,7,283,457
0,2003,0,0,7,284,458
0,2003,0,0,7,295,472
0,2003,0,0,7,308,498
0,2003,0,0,7,309,499
0,2003,0,0,7,314,513
0,2003,0,0,7,315,515
0,2003,0,0,7,315,514
0,2003,0,0,7,326,535
0,2003,0,0,7,326,536
1,2003,0,0,7,329,540
0,2003,0,0,7,333,544
0,2003,0,0,7,334,546
0,2003,0,0,7,342,556
1,2003,0,0,7,347,578
0,2003,0,0,7,347,576
1,2003,0,0,7,357,595
0,2003,0,0,7,361,601
0,2003,0,0,7,365,608
0,2003,0,0,7,369,616
0,2003,0,0,7,369,615
0,2003,0,0,7,373,621
0,2003,0,0,7,377,635
0,2003,0,0,7,388,656
0,2003,0,0,7,388,654
0,2003,0,0,7,393,661
0,2003,0,0,7,399,668
0,2003,0,0,7,400,670
0,2003,0,0,7,404,674
0,2003,0,0,7,424,721
0,2003,0,0,7,429,731
1,2003,0,0,7,430,737
0,2003,0,0,7,431,738
0,2003,0,0,7,434,741
0,2003,0,0,7,442,756
0,2003,0,0,7,450,768
0,2003,0,0,7,452,770
0,2003,0,0,7,453,771
0,2003,0,0,7,454,780
0,2003,0,0,7,454,782
0,2003,0,0,7,454,783
0,2003,0,0,7,454,784
0,2003,0,0,7,454,788
0,2003,0,0,7,454,789
0,2003,0,0,7,454,772
0,2003,0,0,7,461,804
1,2003,0,0,7,461,805
1,2003,0,0,7,473,821
0,2003,0,0,7,478,829
0,2003,0,0,7,481,832
0,2003,0,0,7,486,838
0,2003,0,0,7,489,842
0,2003,0,0,7,492,849
0,2003,0,0,7,493,851
0,2003,0,0,7,494,853
1,2003,0,0,7,496,855
0,2003,0,0,7,501,862
0,2003,0,0,7,515,882
0,2003,0,0,7,516,883
1,2003,0,0,7,517,889
1,2003,0,0,7,518,890
1,2003,0,0,7,519,891
0,2003,0,0,7,520,893
0,2003,0,0,7,520,894
0,2003,0,0,7,520,892
0,2003,0,0,7,525,900
0,2003,0,0,7,526,901
0,2003,0,0,7,532,911
0,2003,0,0,7,540,928
0,2003,0,0,7,540,929
0,2003,0,0,7,540,930
0,2003,0,0,7,540,925
0,2003,0,0,7,551,946
0,2003,0,0,7,554,949
0,2003,0,0,7,555,951
0,2003,0,0,7,555,950
0,2003,0,0,7,558,956
0,2003,0,0,7,559,961
0,2003,0,0,7,559,962
0,2003,0,0,7,559,963
0,2003,0,0,7,559,958
0,2003,0,0,7,560,969
1,2003,0,0,7,561,970
0,2003,0,0,7,569,981
0,2003,0,0,7,570,984
0,2003,0,0,7,574,998
0,2003,0,0,7,575,999
0,2003,0,0,7,580,1005
0,2003,0,0,7,581,1006
1,2003,0,0,7,582,1007
0,2003,0,0,7,584,1016
0,2003,0,0,7,585,1017
0,2003,0,0,7,588,1020
1,2003,0,0,7,590,1023
0,2003,0,0,7,592,1025
1,2003,0,0,7,593,1026
0,2003,0,0,7,604,1042
0,2003,0,0,7,605,1044
0,2003,0,0,7,605,1045
1,2003,0,0,7,610,1055
1,2003,0,0,7,612,1059
1,2003,0,0,7,614,1061
0,2003,0,0,7,618,1067
0,2003,0,0,7,623,1072
0,2003,0,0,7,625,1074
0,2003,0,0,7,631,1080
1,2003,0,0,7,633,1082
0,2003,0,0,7,638,1089
0,2003,0,0,7,638,1090
0,2003,0,0,7,641,1094
1,2003,0,0,7,641,1095
0,2003,0,0,7,642,1097
0,2003,0,0,7,645,1100
0,2003,0,0,7,647,1103
0,2003,0,0,7,647,1104
0,2003,0,0,7,647,1107
0,2003,0,0,7,647,1110
0,2003,0,0,7,647,1102
0,2003,0,0,7,662,1141
0,2003,0,0,7,666,1145
0,2003,0,0,7,667,1146
1,2003,0,0,7,671,1153
0,2003,0,0,7,672,1155
0,2003,0,0,7,674,1159
0,2003,0,0,7,678,1165
0,2003,0,0,7,680,1168
0,2003,0,0,7,687,1179
0,2003,0,0,8,537,919
0,2003,0,0,9,2,2
1,2003,0,0,9,9,13
0,2003,0,0,9,32,55
1,2003,0,0,9,33,57
0,2003,0,0,9,34,58
0,2003,0,0,9,37,61
0,2003,0,0,9,38,63
0,2003,0,0,9,51,80
1,2003,0,0,9,51,81
1,2003,0,0,9,51,79
1,2003,0,0,9,52,82
0,2003,0,0,9,60,93
0,2003,0,0,9,66,100
0,2003,0,0,9,67,101
0,2003,0,0,9,68,102
0,2003,0,0,9,81,121
1,2003,0,0,9,87,132
1,2003,0,0,9,89,136
1,2003,0,0,9,89,134
0,2003,0,0,9,90,139
1,2003,0,0,9,91,141
0,2003,0,0,9,102,159
0,2003,0,0,9,106,164
0,2003,0,0,9,121,181
1,2003,0,0,9,132,202
0,2003,0,0,9,146,221
1,2003,0,0,9,149,227
0,2003,0,0,9,159,242
0,2003,0,0,9,162,250
0,2003,0,0,9,167,259
1,2003,0,0,9,172,275
1,2003,0,0,9,184,293
1,2003,0,0,9,192,304
0,2003,0,0,9,194,307
0,2003,0,0,9,199,318
0,2003,0,0,9,204,336
0,2003,0,0,9,206,339
1,2003,0,0,9,207,341
0,2003,0,0,9,216,352
0,2003,0,0,9,220,359
0,2003,0,0,9,223,365
0,2003,0,0,9,224,367
0,2003,0,0,9,236,382
0,2003,0,0,9,237,385
0,2003,0,0,9,242,395
1,2003,0,0,9,252,409
0,2003,0,0,9,254,412
1,2003,0,0,9,264,429
0,2003,0,0,9,265,430
0,2003,0,0,9,266,433
0,2003,0,0,9,267,437
1,2003,0,0,9,270,442
1,2003,0,0,9,276,449
0,2003,0,0,9,291,466
0,2003,0,0,9,295,472
1,2003,0,0,9,298,479
0,2003,0,0,9,304,491
1,2003,0,0,9,304,489
